term_index,term_id
1046,R-HSA-5579004
1047,R-HSA-5579005
1048,R-HSA-5579006
1049,R-HSA-5579007
1050,R-HSA-5579009
1051,R-HSA-5579010
1052,R-HSA-5579011
1053,R-HSA-5579012
1054,R-HSA-5579013
1055,R-HSA-5579014
1056,R-HSA-5579015
1057,R-HSA-5579016
1058,R-HSA-5579017
1059,R-HSA-5579019
1060,R-HSA-5579020
1061,R-HSA-5579021
1062,R-HSA-5579022
1063,R-HSA-5579024
1064,R-HSA-5579026
1065,R-HSA-5579027
1066,R-HSA-5579028
1067,R-HSA-5579030
1068,R-HSA-5579031
1069,R-HSA-5579032
1070,R-HSA-5601884
1071,R-HSA-5602410
1072,R-HSA-5602415
1073,R-HSA-5602498
1074,R-HSA-5602566
1075,R-HSA-5602571
1076,R-HSA-5602636
1077,R-HSA-5602680
1078,R-HSA-5603027
1079,R-HSA-5603029
1080,R-HSA-5603037
1081,R-HSA-5603041
1082,R-HSA-5607761
1083,R-HSA-5607763
1084,R-HSA-5607764
1085,R-HSA-5609974
1086,R-HSA-5609976
1087,R-HSA-5609977
1088,R-HSA-5609978
1089,R-HSA-561048
1090,R-HSA-5610780
1091,R-HSA-5610783
1092,R-HSA-5610785
1093,R-HSA-5610787
1094,R-HSA-5617472
1095,R-HSA-5619035
1096,R-HSA-5619036
1097,R-HSA-5619037
1098,R-HSA-5619039
1099,R-HSA-5619040
1100,R-HSA-5619041
1101,R-HSA-5619042
1102,R-HSA-5619043
1103,R-HSA-5619044
1104,R-HSA-5619045
1105,R-HSA-5619046
1106,R-HSA-5619047
1107,R-HSA-5619048
1108,R-HSA-5619049
1109,R-HSA-5619050
1110,R-HSA-5619052
1111,R-HSA-5619053
1112,R-HSA-5619054
1113,R-HSA-5619055
1114,R-HSA-5619056
1115,R-HSA-5619058
1116,R-HSA-5619060
1117,R-HSA-5619061
1118,R-HSA-5619062
1119,R-HSA-5619063
1120,R-HSA-5619067
1121,R-HSA-5619068
1122,R-HSA-5619070
1123,R-HSA-5619071
1124,R-HSA-5619072
1125,R-HSA-5619073
1126,R-HSA-5619076
1127,R-HSA-5619078
1128,R-HSA-5619081
1129,R-HSA-5619083
1130,R-HSA-5619085
1131,R-HSA-5619087
1132,R-HSA-5619088
1133,R-HSA-5619089
1134,R-HSA-5619092
1135,R-HSA-5619094
1136,R-HSA-5619095
1137,R-HSA-5619096
1138,R-HSA-5619097
1139,R-HSA-5619098
1140,R-HSA-5619099
1141,R-HSA-5619101
1142,R-HSA-5619104
1143,R-HSA-5619107
1144,R-HSA-5619108
1145,R-HSA-5619109
1146,R-HSA-5619110
1147,R-HSA-5619111
1148,R-HSA-5619113
1149,R-HSA-5619114
1150,R-HSA-5620912
1151,R-HSA-5620916
1152,R-HSA-5620920
1153,R-HSA-5620922
1154,R-HSA-5620924
1155,R-HSA-5620971
1156,R-HSA-5621480
1157,R-HSA-5621575
1158,R-HSA-5624138
1159,R-HSA-5624958
